,target,id,date,query,user,input,input_processed,GPT Positive,GPT Negative
0,4,1693875096,Mon May 04 00:07:24 PDT 2009,NO_QUERY,kinkpuppy,shares Jazzy: Jill-Decoy Association  http://tinyurl.com/c675be http://plurk.com/p/roj2x,shares Jazzy: Jill-Decoy Association  URL URL,No,No
1,0,2204538112,Wed Jun 17 02:28:47 PDT 2009,NO_QUERY,deniseology, I was on a roll.. last two nights I went to bed at 10-11PM.. it's 2:30AM now.. ( dang., I was on a roll.. last two nights I went to bed at 10-11PM.. it's 2:30AM now.. ( dang.,No,Yes
2,4,1468903526,Tue Apr 07 04:19:46 PDT 2009,NO_QUERY,gemsellars,&quot;is in awe of everything she sees your way&quot; ,&quot;is in awe of everything she sees your way&quot; ,No,No
3,4,2177163594,Mon Jun 15 05:34:52 PDT 2009,NO_QUERY,dolsson,@adventurouskate you are going to have the gassiest most uncomfortable flight ever. ,USERNAME you are going to have the gassiest most uncomfortable flight ever. ,No,Yes
4,0,2240777312,Fri Jun 19 10:09:01 PDT 2009,NO_QUERY,KW2P,Hello all. #fb Busy day ahead.. Our rain is not materializing. Very little last night and none today yet. The river is really low. ,Hello all. fb Busy day ahead.. Our rain is not materializing. Very little last night and none today yet. The river is really low. ,No,Yes
5,0,1686313142,Sun May 03 04:51:33 PDT 2009,NO_QUERY,Shanniee,im boredd and i have a sore leg  hmmph wheres short stack ??,im boredd and i have a sore leg  hmmph wheres short stack ??,No,Yes
6,0,1685120042,Sat May 02 23:07:59 PDT 2009,NO_QUERY,bigrb,Wouldn't you know it - dedicated back-up drive has bitten the dust. Thought a LaCie would last longer... ,Wouldn't you know it - dedicated back-up drive has bitten the dust. Thought a LaCie would last longer... ,No,Yes
7,0,2188627153,Mon Jun 15 22:14:58 PDT 2009,NO_QUERY,Pnutgurl,"Seriously, first my laptop then this pc. Whatever though Feels good to be back playing warcraft. I feel really rusty though ","Seriously, first my laptop then this pc. Whatever though Feels good to be back playing warcraft. I feel really rusty though ",Yes,No
8,0,1992785012,Mon Jun 01 09:19:03 PDT 2009,NO_QUERY,laurarose15,"tomorrows forecast say hot hot hot, gutted i want the cloud ","tomorrows forecast say hot hot hot, gutted i want the cloud ",No,No
9,4,1970904427,Sat May 30 05:36:36 PDT 2009,NO_QUERY,muddyjeans,This time tomorrow I'll be on a plane!!! ,This time tomorrow I'll be on a plane!!! ,Yes,No
10,4,1827955257,Sun May 17 11:47:37 PDT 2009,NO_QUERY,neiloh,@pinpoint_uk neiloh is a friend of wato  and district lines bro  (pinpoint live &gt; http://ustre.am/2wLS),USERNAME neiloh is a friend of wato  and district lines bro  (pinpoint live &gt; URL,No,No
11,4,1880718502,Fri May 22 02:15:04 PDT 2009,NO_QUERY,freaktasticjj,Gone campin and canoeing.. be home on Monday.. ,Gone campin and canoeing.. be home on Monday.. ,Yes,No
12,0,2186051115,Mon Jun 15 18:17:08 PDT 2009,NO_QUERY,LeJessica,@jtimberlake Why the unfollow? Inform meeee. ,USERNAME Why the unfollow? Inform meeee. ,No,No
13,4,1685193463,Sat May 02 23:24:12 PDT 2009,NO_QUERY,sheryonstone,how do you know I am leaving @daihard ? lol. I figure if you can blip till dawn then so can I  ? http://blip.fm/~5gtjn,how do you know I am leaving USERNAME ? lol. I figure if you can blip till dawn then so can I  ? URL,No,No
14,0,2328795622,Thu Jun 25 10:00:05 PDT 2009,NO_QUERY,kaylatsim,i think today is the day were i have twittered the most all because of this BOREDOM!!!! ,i think today is the day were i have twittered the most all because of this BOREDOM!!!! ,No,Yes
15,0,2185356789,Mon Jun 15 17:15:34 PDT 2009,NO_QUERY,roxigunz,@ash_lovee i will i just need to get better first ,USERNAME i will i just need to get better first ,No,No
16,4,1834157635,Mon May 18 01:51:04 PDT 2009,NO_QUERY,TessMorris,"@AdventureFarm well @leeboardman gave you a great shout out on SFTW yesterday ,his cooking slot was very funny, lovely bloke ","USERNAME well USERNAME gave you a great shout out on SFTW yesterday ,his cooking slot was very funny, lovely bloke ",Yes,No
17,4,1991608345,Mon Jun 01 07:20:48 PDT 2009,NO_QUERY,Midnight_Blues,@DantePosh What do you know about Slippery Dick?   BTW Read your direct messages..,USERNAME What do you know about Slippery Dick?   BTW Read your direct messages..,No,No
18,4,1978794613,Sun May 31 00:29:41 PDT 2009,NO_QUERY,toosweet4rnr,"@graphiclucidity you got some interesting conversation too, right? chicken sausage, sharon osbourne... lol ","USERNAME you got some interesting conversation too, right? chicken sausage, sharon osbourne... lol ",Yes,No
19,4,1992170272,Mon Jun 01 08:19:11 PDT 2009,NO_QUERY,cstumpff,I have a feeling this is gonna be a good week! Monday came early but I only hit the snooze once! Thats good stuff! ,I have a feeling this is gonna be a good week! Monday came early but I only hit the snooze once! Thats good stuff! ,Yes,No
